Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Acosta Pereira,Vilmarie,12/6/2019,VETWS,Ref: 1,,,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,
Acosta Pereira,Vilmarie,12/7/2019,V60WS,Ref: 1,,,,,,,,Ref: 1,Video: 1,Ref: 1,,
Acosta Pereira,Vilmarie,12/7/2019,VETME,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,,,,
Acosta Pereira,Vilmarie,12/8/2019,DV1WS,Ref: 1,,,,,,,,,,,,
Acosta Pereira,Vilmarie,12/8/2019,STMMS,,,,,,,,,,,Ref: 1,,Ref: 1
Acosta Pereira,Vilmarie,12/8/2019,V50MS,Ref: 1,,,,,,,Ref: 4,Ref: 2,Video: 1,Ref: 1,,
Acosta Pereira,Vilmarie,12/9/2019,VETMS,Ref: 1,,,,,,Ref: 2,Ref: 2,Ref: 1,,,,Video: 1
Acosta Pereira,Vilmarie,1/3/2020,U20MS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Acosta Pereira,Vilmarie,1/4/2020,U20WS,Ref: 1,,,,Ref: 4,,Ref: 2,,Video: 1,Ref: 1,,,
Acosta Pereira,Vilmarie,1/5/2020,DV1MS,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,,,,,,
Acosta Pereira,Vilmarie,1/6/2020,DV1WS,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,,,,
Acres,Eowyn,2/16/2020,U20ME,Ref: 2,,,,,,,,,,,,
Acuña Ramirez,Adrian,2/14/2020,U17MS,Ref: 2,,,Ref: 5,Ref: 3,,Ref: 2,Ref: 1,Ref: 1,,,,
Acuña Ramirez,Adrian,2/15/2020,U20WS,Ref: 2,,,Ref: 5,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,Ref: 1,,
Acuña Ramirez,Adrian,2/16/2020,U20MS,Ref: 2,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Acuña Ramirez,Adrian,2/17/2020,U17WS,Ref: 2,,,Ref: 2,Ref: 3,,Ref: 1,,,Video: 1,,,
Adams,James,11/8/2019,U20WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Assist: 1,,,,
Adams,James,11/9/2019,U17ME,Ref: 1,,,Ref: 1,Ref: 2,,,,Video: 1  Assist: 1,,,,
Adams,James,11/10/2019,U17WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Adams,James,11/10/2019,Y14ME,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 1,,,,,
Adams,James,11/11/2019,U20ME,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Adams,James,11/11/2019,Y14WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Adel,Ali,2/14/2020,U17MS,Ref: 2,,,,Ref: 5,,Ref: 2,Ref: 1,Video: 2,,,,
Adel,Ali,2/15/2020,U20WS,Ref: 2,,,Ref: 2,Ref: 5,,Ref: 2,Ref: 1,Assist: 1,Video: 1,Video: 1,,
Adel,Ali,2/16/2020,U20MS,Ref: 2,,,Ref: 3,Ref: 2,,Ref: 1,,Video: 1,,Video: 1,,
Adel,Ali,2/17/2020,U17WS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,Ref: 1,Video: 2,Ref: 1,,,
Ahn,Jaehyun,11/8/2019,U17MF,Ref: 1,,,Ref: 1,,,,,,,,,
Ahn,Jaehyun,11/8/2019,Y14WF,Ref: 1,,,,Ref: 2,,Ref: 2,,,Ref: 1,,,
Ahn,Jaehyun,11/9/2019,U17ME,Ref: 1,,,Ref: 5,Ref: 1,,,,,,,,
Ahn,Jaehyun,11/9/2019,U20MF,Ref: 1,,,Ref: 2,,,,,,,,,
Ahn,Jaehyun,11/10/2019,U20WF,Ref: 1,,,Ref: 1,Ref: 1,,,,Ref: 1,,,,
Ahn,Jaehyun,11/10/2019,Y14MF,Ref: 1,,,,,,,,,,,,
Ahn,Jaehyun,11/11/2019,U17WF,Ref: 1,,,Ref: 1,,,Ref: 1,Ref: 1,,,,,
Ahn,Jaehyun,11/11/2019,U20ME,Ref: 1,,,,,,,,,,,,
Alperstein,Donald,10/18/2019,DV1ME,Ref: 1,Ref: 1,,,,,,,Ref: 1  Video: 1,Video: 1,Ref: 1,,
Alperstein,Donald,10/19/2019,U17ME,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Alperstein,Donald,10/20/2019,DV1WE,Ref: 1,,,,,,,,,,,,
Alperstein,Donald,10/21/2019,DV2ME,,,,,,,Ref: 1,,,,,,
Alperstein,Donald,10/21/2019,DV2WE,Ref: 1,,,,,,,,,,Video: 1,,
Alperstein,Donald,1/3/2020,DV1ME,Ref: 1,Ref: 1,,Ref: 1,Ref: 2,,Ref: 1,,Ref: 1,Video: 1,,,
Alperstein,Donald,1/4/2020,DV1WE,Ref: 1,Ref: 1,,,,,,,Video: 1,Ref: 1,Video: 1,,
Alperstein,Donald,2/14/2020,U17ME,Ref: 1,,,,,,,,Video: 1,Video: 1,,,
Alperstein,Donald,2/15/2020,U20WE,,,,Ref: 2,Ref: 1,,Ref: 2,Ref: 1,,,,,
Alperstein,Donald,2/16/2020,U20ME,,,,,,,,,Video: 1,,,,
Aly,Sherif,2/14/2020,U17ME,Ref: 1,,,Ref: 4,Ref: 3,,,,,,,,
Aly,Sherif,2/14/2020,U20WF,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,Ref: 1,Video: 1,,,,
Aly,Sherif,2/15/2020,U20MF,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,,Video: 2,Video: 1,Video: 1,,
Aly,Sherif,2/16/2020,U17WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Video: 1,,,,
Aly,Sherif,2/16/2020,U20MS,Ref: 2,,,Ref: 4,Ref: 2,,Ref: 1,,Assist: 1,,,,
Aly,Sherif,2/17/2020,U17WS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,Ref: 1,,Video: 1,,,
Amborski,Tomek,2/14/2020,U17ME,Ref: 1,,,,,,,,Video: 2,,Ref: 1,,
Amborski,Tomek,2/15/2020,U20MF,Ref: 1,,,Ref: 4,,,,,,,,,
Amborski,Tomek,2/15/2020,U20WE,,,,Ref: 2,Ref: 1,,Ref: 1,,Video: 1,,,,
Amborski,Tomek,2/16/2020,U20ME,,,Ref: 1,Ref: 4,Ref: 2,,,,Video: 1,,,,
Amborski,Tomek,2/17/2020,U17WE,Ref: 2,,,Ref: 3,Ref: 2,,,Ref: 1,Assist: 1,Video: 1,Video: 1,,
Angelova-Atanassov,Anna,10/18/2019,U17WF,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,10/19/2019,DV1MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,,,,,,
Angelova-Atanassov,Anna,10/20/2019,DV1WF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,
Angelova-Atanassov,Anna,10/20/2019,DV2MF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,10/21/2019,U17MF,Ref: 1,,,,Ref: 3,,,,,Video: 1,,,
Angelova-Atanassov,Anna,12/6/2019,DV1MF,Ref: 1,,,,,,Ref: 2,Ref: 1,,,,,
Angelova-Atanassov,Anna,12/6/2019,V40WF,Ref: 1,,,,,,,,,Ref: 1,Ref: 1,,
Angelova-Atanassov,Anna,12/7/2019,DV1WF,Ref: 1,,,,,,,,,,,,
Angelova-Atanassov,Anna,12/7/2019,V60MF,Ref: 1,,,,,,,,,,,,
Angelova-Atanassov,Anna,12/8/2019,VETMF,Ref: 1,,,,,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,12/8/2019,VETWF,Ref: 1,,,,,,,,,Ref: 1,Ref: 1,,
Angelova-Atanassov,Anna,12/9/2019,DV2WS,Ref: 1,,,,,,Ref: 1,Ref: 3,Ref: 1,Ref: 1,Assist: 1,,
Angelova-Atanassov,Anna,1/3/2020,DV1WF,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,1/4/2020,STMWF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,Ref: 1
Angelova-Atanassov,Anna,1/4/2020,U20WS,Ref: 1,,,,,,,,,,,,
Angelova-Atanassov,Anna,1/5/2020,U20MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 3,,,,,,
Angelova-Atanassov,Anna,1/5/2020,U20WE,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Angelova-Atanassov,Anna,1/6/2020,STMWE,,,,,,,,,Ref: 1,,,,
Angelova-Atanassov,Anna,1/6/2020,U20WF,Ref: 1,,,,Ref: 3,,Ref: 2,,,,,,
Angelova-Atanassov,Anna,2/14/2020,U17ME,Ref: 1,,,Ref: 4,Ref: 1,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,2/14/2020,U20WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,,,,,
Angelova-Atanassov,Anna,2/15/2020,U20MF,Ref: 1,,,Ref: 4,Ref: 3,,Ref: 2,,,,,,
