Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Ivy,Adam,4/23/2023,DV1WF,Ref: 1,, , , ,Ref: 1,Ref: 1, ,Ref: 1, , ,Video: 1
Ivy,Adam,4/23/2023,V40WE, ,, , , , , , ,Video: 1, , , 
Ivy,Adam,4/24/2023,U19MF,Ref: 1,,Ref: 1,Ref: 1, ,Ref: 1,Ref: 1, , ,Ref: 1, , 
Ivy,Adam,6/30/2023,DV1WF,Ref: 1, , , ,, , ,Ref: 1, , , , 
Ivy,Adam,7/1/2023,U19MF,Ref: 1, ,Ref: 2,Ref: 2,,Ref: 1, ,Video: 1, , , ,Video: 1
Ivy,Adam,7/2/2023,STMMF, , , , ,, ,Ref: 1, , , , , 
Ivy,Adam,7/2/2023,U19ME,Ref: 1, , , ,, , , , , , , 
Ivy,Adam,7/2/2023,U19WF,Ref: 1, ,Ref: 1,Ref: 2,,Ref: 1, , , , , , 
Ivy,Adam,7/3/2023,D1AWF, , , , ,,Ref: 2,Ref: 1,Ref: 1, , , , 
Ivy,Adam,7/3/2023,DV1MF,Ref: 1, , ,Ref: 2,, ,Ref: 1,Video: 1, , , , 
Ivy,Adam,7/4/2023,U16MF,Ref: 1, ,Ref: 4,Ref: 3,,Ref: 2,Ref: 2,Video: 1,Ref: 1, , , 
Jacobson,Tyler,4/22/2023,DV1WE,Ref: 1,, , , , , ,Video: 1, , , ,Ref: 1
Jacobson,Tyler,4/23/2023,U19ME,Ref: 1,, , , , , ,Video: 1,Video: 1, , , 
Jacobson,Tyler,4/24/2023,U19MF,Ref: 1,, , , , , ,Video: 1, , , , 
Jeffery,Jakob,10/7/2022,DV1MF,Ref: 1, , ,Ref: 3, ,Ref: 2, , , , , , 
Jeffery,Jakob,10/8/2022,U17ME,Ref: 1, ,Ref: 2, , , , , , , , , 
Jeffery,Jakob,10/8/2022,U17WF,Ref: 1, , ,Ref: 2, ,Ref: 1,Ref: 1,Ref: 1, , , , 
Jeffery,Jakob,10/9/2022,DV1WF,Ref: 1, , ,Ref: 2, ,Ref: 2, , , , , , 
Jeffery,Jakob,10/9/2022,U17MF,Ref: 1, ,Ref: 2,Ref: 2, ,Ref: 1, , , , , , 
Jeffery,Jakob,10/10/2022,Y14MF,Ref: 1, , ,Ref: 3, ,Ref: 2, , , , , , 
Jeffery,Jakob,12/9/2022,U17MF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 2,Ref: 1,Ref: 1,Video: 1,Ref: 1,, 
Jeffery,Jakob,12/10/2022,U20MF,Ref: 2, ,Ref: 1,Ref: 2, ,Ref: 1, , , , ,, 
Jeffery,Jakob,12/11/2022,DV1MF,Ref: 1, ,Ref: 1,Ref: 2, ,Ref: 2,Ref: 1,Ref: 1, , ,, 
