Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abdelaziz,Abdel,4/22/2017,VTMWE,,,,,,,,,,Ref: 1,,,Ref: 1
Abdelaziz,Abdel,7/1/2017,D1AMF,,,,,Ref: 1,,Ref: 2,Ref: 1,,Video: 1,,,
Abdelaziz,Abdel,7/1/2017,U19WF,Ref: 1,,,,,,,,Video: 1,,,,
Abdelaziz,Abdel,7/2/2017,D1AWF,Ref: 1,,,,,,,,Ref: 1,,,,
Abdelaziz,Abdel,7/2/2017,DV1MF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,7/3/2017,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,7/3/2017,V60MF,Ref: 1,,,,,,,,,Video: 1,Video: 1,,
Abdelaziz,Abdel,7/8/2017,DV3WF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Abdel,7/8/2017,Y14MF,Ref: 1,,,,,,Ref: 3,Ref: 1,,,,,
Abdelaziz,Abdel,7/9/2017,Y10MF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Hisham,10/8/2016,DV1MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdelaziz,Hisham,10/8/2016,DV2WF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,Assist: 1,,,
Abdelaziz,Hisham,10/9/2016,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 1,,,,,,,,
Abdelaziz,Hisham,11/11/2016,CTMWF,,,,,,,,,,,Ref: 1,,
Abdelaziz,Hisham,11/13/2016,U17MF,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,,,,,
Abdelaziz,Hisham,11/12/2016,U17WF,Ref: 1,,,Ref: 2,Ref: 4,,Ref: 3,,Ref: 1  Video: 1,Ref: 1,Video: 1,,
Abdelaziz,Hisham,11/11/2016,U20MF,Ref: 1,,,Ref: 5,Ref: 2,,Ref: 2,Ref: 2,Assist: 2,Ref: 1,Assist: 1,,Assist: 1
Abdelaziz,Hisham,11/14/2016,U20WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Ref: 1,Assist: 1,,Assist: 1
Abdelaziz,Hisham,11/14/2016,Y12MF,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Video: 1,,
Abdelaziz,Hisham,11/13/2016,Y14WF,,,,,Ref: 2,,Ref: 2,Ref: 2,Ref: 1,,,,
Abdelaziz,Hisham,1/7/2017,DV1ME,Ref: 1,,,,,,,,,,,,
Abdelaziz,Hisham,1/8/2017,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,Ref: 1,Video: 1,,
Abdelaziz,Hisham,1/8/2017,DV1WE,Ref: 1,Ref: 1,,,Ref: 1,,,,,,,,
Abdelaziz,Hisham,1/7/2017,DV1WF,Ref: 1,,,,Ref: 2,,,Ref: 1,Video: 1,Ref: 1,Assist: 1,,
Abdelaziz,Hisham,1/6/2017,U20MF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdelaziz,Hisham,1/6/2017,U20WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Abdelaziz,Hisham,1/9/2017,U20WF,Ref: 2,,,,Ref: 2,,Ref: 1,,,,,,
Abdelaziz,Hisham,2/18/2017,JTMME,,,,,,,Ref: 1,Ref: 2,,,,,
Abdelaziz,Hisham,2/18/2017,U19MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Ref: 1,Video: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,2/19/2017,JTMMF,,,,,,,,,Ref: 1,,,Ref: 1,
Abdelaziz,Hisham,2/19/2017,U19WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Video: 1,,,
Abdelaziz,Hisham,2/20/2017,U16MF,Ref: 2,,,Ref: 3,Ref: 1,,,Ref: 1,Video: 1,Ref: 1,Ref: 1,,
Abdelaziz,Hisham,3/11/2017,14TMWF,,,,,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Ref: 1,
Abdelaziz,Hisham,3/11/2017,Y14MF,Ref: 1,,,,,,,,,,,,
Abdelaziz,Hisham,3/12/2017,Y14WF,Ref: 2,,,Ref: 3,Ref: 3,,Ref: 1,Ref: 1,,Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,3/13/2017,Y12MF,Ref: 2,,,Ref: 3,Ref: 3,,Ref: 2,,,Video: 1,Ref: 1,,
Abdelaziz,Hisham,4/24/2017,DV1MF,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,
Abdelaziz,Hisham,4/22/2017,DV1WF,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,
Abdelaziz,Hisham,4/23/2017,DV2MF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,,Video: 1,,Video: 1
Abdelaziz,Hisham,4/24/2017,DV3MF,,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Hisham,4/22/2017,DV3WF,Ref: 1,,,,Ref: 1,,Ref: 1,,,,Ref: 1,,Assist: 1
Abdelaziz,Hisham,4/21/2017,V40WF,,,,,,,,,Ref: 2,Video: 1,Ref: 1,,
Abdelaziz,Hisham,4/21/2017,V50WF,,,,,,,,Ref: 2,Ref: 1,Video: 1,,,Ref: 1
Abdelaziz,Hisham,4/21/2017,V60ME,,,,,,,Ref: 1,,,,,,
Abdelaziz,Hisham,4/23/2017,VETWF,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Abdelaziz,Hisham,12/3/2016,D1AWF,Ref: 1,,,,,,Ref: 2,,,Ref: 1,,,
Abdelaziz,Hisham,12/4/2016,DV1WE,Ref: 1,Ref: 1,,,,Ref: 2,Ref: 2,Ref: 1,,Assist: 1,,,
Abdelaziz,Hisham,12/4/2016,V50ME,Ref: 1,,,,,,Ref: 1,Ref: 3,,Assist: 1,Ref: 1,,
Abdelaziz,Hisham,12/3/2016,V50MF,,,,,,,,Ref: 3,Ref: 1,Video: 1  Assist: 1,,,
Abdelaziz,Hisham,12/11/2016,DV1MF,Ref: 2,,,,Ref: 3,,Ref: 1,Ref: 1  Video: 1,Assist: 1,Ref: 1,Assist: 1,,
Abdelaziz,Hisham,12/10/2016,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1  Video: 1  Assist: 2,Ref: 1  Assist: 1,Ref: 1,Ref: 1,,,
