Last Name,First Name,Event,Date,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abdallah,Ahmed,DV1ME,4/27/2026,Ref: 2, , ,Ref: 1,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Abdelaziz,Abdelwahab,DV1MF,10/3/2025,Ref: 1, , , , ,, , ,Ref: 1,Video: 1, , , 
Abdelaziz,Abdelwahab,U17WF,10/4/2025,Ref: 1, , , ,Ref: 1,,Ref: 3, , ,Ref: 1, , , 
Abdelaziz,Abdelwahab,U20MF,10/5/2025,Ref: 1, , , , ,, , , , , , , 
Abdelaziz,Abdelwahab,U17MF,10/6/2025,Ref: 2, , , , ,, , ,Ref: 1, , , , 
Abdelhay,Mohamed,Y14WE,3/6/2026,Ref: 1, , ,Ref: 1,Ref: 3,,Ref: 1,Ref: 1, , , , , 
Abdelhay,Mohamed,DV2WE,3/7/2026,Ref: 1, , , ,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Abdelhay,Mohamed,Y12ME,3/7/2026,Ref: 1, , ,Ref: 2,Ref: 2,, , ,Ref: 1, , , , 
Abdelhay,Mohamed,DV2ME,3/8/2026,Ref: 1, , ,Ref: 2,Ref: 1,,Ref: 2, ,Ref: 1, , , , 
Abdelhay,Mohamed,Y12WE,3/8/2026,Ref: 1, , ,Ref: 1,Ref: 3,, , , , , , , 
Abdelhay,Mohamed,Y14ME,3/9/2026,Ref: 2, , ,Ref: 2, ,, , , , , , , 
Adel,Ali,U20MS,10/3/2025,Ref: 2, , ,Ref: 5,Ref: 3,,Ref: 2,Ref: 1,Ref: 1, , , , 
Adel,Ali,DV1WS,10/4/2025,Ref: 2, , ,Ref: 2,Ref: 3,,Ref: 2,Ref: 2,Ref: 1, , , , 
Adel,Ali,U17MS,10/4/2025,Ref: 2, , ,Ref: 3,Ref: 5,,Ref: 3,Ref: 1,Video: 1, , , , 
Adel,Ali,DV1MS,10/5/2025,Ref: 2, , ,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Adel,Ali,U20WS,10/6/2025,Ref: 2, , ,Ref: 3,Ref: 4,,Ref: 2,Ref: 1,Ref: 1, , , , 
Adel,Ali,DV1WF,2/12/2026,Ref: 1, , , ,Ref: 1,,Ref: 1, , , , , , 
Adel,Ali,DV1WS,2/12/2026,Ref: 2, , ,Ref: 1,Ref: 3,,Ref: 3,Ref: 2,Video: 1, , , , 
Adel,Ali,CHRWF,2/13/2026,Ref: 1, , , , ,, , , ,Ref: 1, , , 
Adel,Ali,DV1MS,2/13/2026,Ref: 2, , ,Ref: 1,Ref: 3,,Ref: 1, ,Video: 1,Video: 1, , , 
Adel,Ali,U20WF,2/14/2026,Ref: 1, , , ,Ref: 2,,Ref: 2, ,Video: 1, , , , 
Adel,Ali,V40MS,2/14/2026,Ref: 1, , , , ,, , , ,Video: 1, , ,Video: 1
Adel,Ali,V60MS,2/14/2026, , , , , ,, ,Ref: 2, ,Ref: 1,Video: 1, , 
Adel,Ali,CHRMS,2/15/2026,Ref: 1, , , , ,, , , , , , , 
Adel,Ali,CHRWS,2/15/2026, , , , , ,, , , ,Ref: 1, , ,Ref: 1
Adibzadeh,Mehrdad,DV1ME,11/14/2025,Ref: 1, , ,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Ref: 1, , , , 
Adibzadeh,Mehrdad,Y14WE,11/14/2025, , , ,Ref: 1,Ref: 2,, , , , , , , 
Adibzadeh,Mehrdad,CTMWE,11/15/2025, , , , , ,, ,Ref: 1,Ref: 1,Ref: 1, , ,Ref: 1
Adibzadeh,Mehrdad,Y14ME,11/15/2025,Ref: 1, , ,Ref: 2,Ref: 2,, , , , , , , 
Adibzadeh,Mehrdad,U17WE,11/16/2025,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Ref: 1, , , 
Adibzadeh,Mehrdad,U17ME,11/17/2025,Ref: 2, , ,Ref: 4,Ref: 1,, , , , , , , 
Adibzadeh,Mehrdad,Y10ME,3/6/2026,Ref: 1, , , ,Ref: 2,,Ref: 1,Ref: 2, , , , , 
Adibzadeh,Mehrdad,Y14WE,3/6/2026,Ref: 1, , ,Ref: 2,Ref: 1,, ,Ref: 1, , , , , 
Adibzadeh,Mehrdad,Y12ME,3/7/2026,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Adibzadeh,Mehrdad,DV2ME,3/8/2026,Ref: 1, , ,Ref: 1,Ref: 4,,Ref: 1, , , , , , 
Adibzadeh,Mehrdad,Y12WE,3/8/2026,Ref: 1, , ,Ref: 3,Ref: 1,,Ref: 2,Ref: 1, , , , , 
Adibzadeh,Mehrdad,Y14ME,3/9/2026,Ref: 2, , ,Ref: 4,Ref: 2,,Ref: 2, , , , , , 
Aguilar Flores,Angélica,DV1MF,10/3/2025,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Aguilar Flores,Angélica,U20MS,10/3/2025, , , ,Ref: 5,Ref: 3,,Ref: 1,Ref: 1,Video: 1, ,Ref: 1, , 
Aguilar Flores,Angélica,DV1WS,10/4/2025,Ref: 2, , ,Ref: 2,Ref: 2,,Ref: 3,Ref: 1, , , , , 
Aguilar Flores,Angélica,U17MS,10/4/2025,Ref: 2, , ,Ref: 2,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Video: 1, , , , 
Aguilar Flores,Angélica,DV1MS,10/5/2025,Ref: 2, , ,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Video: 1, , , , 
Aguilar Flores,Angélica,U20WS,10/6/2025,Ref: 2, , ,Ref: 2,Ref: 2,,Ref: 1,Ref: 2,Ref: 1, , , , 
Aguilar Flores,Angélica,U20WS,1/23/2026,Ref: 2, , , ,Ref: 4,,Ref: 3,Ref: 1, , , , ,Ref: 1
Aguilar Flores,Angélica,U20MS,1/24/2026,Ref: 1, , , ,Ref: 2,,Ref: 2,Ref: 1, , , , , 
Aguilar Flores,Angélica,U20WE,1/24/2026, , , , ,Ref: 1,,Ref: 1, ,Ref: 1, , , , 
Aguilar Flores,Angélica,U17MS,1/25/2026,Ref: 1, , , ,Ref: 1,,Ref: 2,Ref: 1,Ref: 2, ,Ref: 1, , 
Aguilar Flores,Angélica,U17WS,1/25/2026, , , , ,Ref: 2,, ,Ref: 1, ,Ref: 1, , , 
Aguilar Flores,Angélica,Y14WS,3/6/2026,Ref: 2, , ,Ref: 4,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, ,Video: 1, , 
Aguilar Flores,Angélica,DV2WS,3/7/2026,Ref: 1, , , ,Ref: 2,,Ref: 3, ,Ref: 1,Ref: 1,Video: 1, , 
Aguilar Flores,Angélica,Y12MS,3/7/2026,Ref: 2, , ,Ref: 3,Ref: 4,,Ref: 1,Ref: 1, , , , , 
Aguilar Flores,Angélica,Y14MS,3/8/2026,Ref: 2, , , , ,, , ,Ref: 1, ,Video: 1, , 
Aguilar Flores,Angélica,DV2MS,3/9/2026,Ref: 2, , ,Ref: 2,Ref: 5,,Ref: 3,Ref: 1,Ref: 1, , , , 
Aguilar Flores,Angélica,Y10WE,3/9/2026,Ref: 1, , , , ,,Ref: 2,Ref: 1,Ref: 1,Video: 1,Ref: 1, , 
Aguilar Salazar,Emiliano Elí,DV1WE,10/3/2025,Ref: 1, , ,Ref: 1,Ref: 2,,Ref: 1, , , , , , 
Aguilar Salazar,Emiliano Elí,U20MS,10/3/2025, , , ,Ref: 5,Ref: 4,,Ref: 2, ,Video: 1,Video: 1, , , 
Aguilar Salazar,Emiliano Elí,DV1WS,10/4/2025,Ref: 2, , ,Ref: 2, ,, , , ,Ref: 1, , , 
Aguilar Salazar,Emiliano Elí,U20WE,10/4/2025,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Aguilar Salazar,Emiliano Elí,DV1MS,10/5/2025,Ref: 2, , ,Ref: 1,Ref: 3,,Ref: 2, ,Ref: 1, , , , 
Aguilar Salazar,Emiliano Elí,U17WS,10/5/2025,Ref: 2, , ,Ref: 1,Ref: 3,,Ref: 1,Ref: 2,Video: 1, , , , 
Aguilar Salazar,Emiliano Elí,U20WS,10/6/2025,Ref: 2, , ,Ref: 5,Ref: 4,,Ref: 3,Ref: 1,Ref: 1,Video: 1, , , 
Alford,April,DV1ME,11/14/2025,Ref: 1, , ,Ref: 2,Ref: 1,, , ,Video: 1,Video: 1, , , 
Alford,April,Y14ME,11/15/2025,Ref: 1, , ,Ref: 2,Ref: 1,,Ref: 1,Ref: 1, , ,Ref: 1, , 
Alford,April,DV1MF,11/16/2025,Ref: 1, , , , ,, , , , , , , 
Alford,April,U17WE,11/16/2025,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 2, , , , , , 
Alford,April,Y14WF,11/16/2025,Ref: 1, , , , ,, , , , , , , 
Alford,April,U17ME,11/17/2025,Ref: 2, , , , ,, ,Ref: 1, ,Ref: 1, , , 
Alford,April,U17WE,1/9/2026,Ref: 1, , ,Ref: 1,Ref: 3,,Ref: 1, ,Video: 1, , , , 
Alford,April,U17ME,1/10/2026,Ref: 2, , ,Ref: 6,Ref: 2,, ,Ref: 1, , , , , 
Alford,April,JTMME,1/11/2026, , , , , ,, ,Ref: 1,Ref: 1, , ,Ref: 1, 
Alford,April,U20WE,1/11/2026,Ref: 1, , ,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
