,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Soliman,Khaled,7/11/2021,DV2MF,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Soliman,Khaled,7/11/2021,DV2WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Soliman,Khaled,7/12/2021,DV3MF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,,,,,
Soliman,Khaled,7/12/2021,DV3WF,Ref: 1,,,Ref: 1,,Ref: 1,,,,,
Stapleton,Lindsay,7/4/2021,DV1MS,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,Ref: 1,Ref: 1,,
Stapleton,Lindsay,7/4/2021,U17WS,Ref: 2,,Ref: 2,Ref: 4,Ref: 2,Ref: 1,,Assist: 1,Ref: 1,,
Stapleton,Lindsay,7/5/2021,STMMS,,,,,,,Ref: 1,Ref: 1,,,
Stapleton,Lindsay,7/5/2021,U20WS,Ref: 2,,,,,,Video: 1,Ref: 1,,,
Stapleton,Lindsay,7/6/2021,U20MS,Ref: 2,,,,Ref: 2,Ref: 1,Video: 1,Ref: 1,,,
Stapleton,Lindsay,7/6/2021,V50MS,Ref: 1,,,,,Ref: 3,Ref: 2,Video: 1  Assist: 1,Ref: 1,,Assist: 1
Stasinos,Mark,5/6/2021,Y14MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,Video: 1,,
Stasinos,Mark,5/7/2021,DV1MF,,,,,Ref: 1,,,,,,
Stasinos,Mark,5/7/2021,U17WF,Ref: 1,,,Ref: 3,Ref: 1,,Video: 2,Video: 1,Assist: 1,,
Stasinos,Mark,5/8/2021,DV1WF,,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Stasinos,Mark,5/8/2021,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,Video: 2,Video: 1,Ref: 1,,Assist: 1
Stasinos,Mark,5/9/2021,U20WF,,,,,,,Assist: 2,,,,
Stasinos,Mark,6/4/2021,U20ME,Ref: 1,,,,,,Video: 1,,,,
Stasinos,Mark,6/5/2021,DV1ME,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,,,,,
Stasinos,Mark,6/5/2021,U17WE,Ref: 1,,,,,,Assist: 1,Video: 1,Assist: 1,,
Stasinos,Mark,6/6/2021,DV1WE,,,,,Ref: 1,,Video: 1,,,,Video: 1
Stasinos,Mark,6/6/2021,U17ME,,,Ref: 1,Ref: 1,Ref: 2,Ref: 1,Ref: 1  Video: 1,Video: 1,Video: 1,,Ref: 1
Stasinos,Mark,6/7/2021,U20WE,Ref: 1,,,Ref: 3,Ref: 2,Ref: 1,Ref: 1,Assist: 1,,,
Stasinos,Mark,7/3/2021,U17MF,Ref: 1,,,,,Ref: 1,Video: 1,Video: 1,Assist: 1,,Video: 1
Stasinos,Mark,7/4/2021,DV1MF,Ref: 1,,,,,,Video: 1,,,,
Stasinos,Mark,7/4/2021,U17WE,Ref: 1,,,,,,,,,,
Stetsiv,Oleg,7/7/2021,STMWS,,,,,,,,Ref: 1,Ref: 1,,
Stetsiv,Oleg,7/7/2021,Y14MS,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Stetsiv,Oleg,7/8/2021,JTMMS,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Stetsiv,Oleg,7/8/2021,Y14WS,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Stetsiv,Oleg,7/9/2021,Y12WS,Ref: 1,,,,,Ref: 1,Ref: 1,Video: 1,,,
Strnatko,Justin,6/4/2021,U20MS,Ref: 2,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,Assist: 1,,,
Strnatko,Justin,7/4/2021,DV1MS,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Strnatko,Justin,7/4/2021,U17WS,Ref: 1,,Ref: 2,Ref: 4,Ref: 2,Ref: 1,Ref: 1  Assist: 1,,Assist: 1,,
Strnatko,Justin,7/5/2021,STMMS,,,,,,,Ref: 1,Ref: 1,,,
Strnatko,Justin,7/5/2021,U20WS,Ref: 1,,Ref: 2,Ref: 4,Ref: 2,Ref: 1,Ref: 1,,,,
Strnatko,Justin,7/6/2021,JTMWS,,,,,,Ref: 1,Ref: 1,Ref: 1,,,Ref: 1
Strnatko,Justin,7/6/2021,U20MS,Ref: 2,,,,Ref: 2,Ref: 1,Ref: 1,,,,
Strnatko,Justin,7/7/2021,STMWE,,,,,,,Ref: 1,Ref: 1,,,
Strnatko,Justin,7/7/2021,Y14MS,Ref: 1,,,Ref: 1,Ref: 2,,,,,,
