,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,7/3/2021,DV1WF,Ref: 1,,,Ref: 3,Ref: 1,,Video: 1,,,,
Abashidze,George,7/3/2021,U17MF,Ref: 1,,Ref: 2,,,,,,,,
Abashidze,George,7/4/2021,DV1MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,,,,,
Abashidze,George,7/4/2021,U17WF,Ref: 1,,,,,,,,,,
Abashidze,George,7/5/2021,STMMF,,,,,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,
Abashidze,George,7/6/2021,U20MF,Ref: 1,,Ref: 3,Ref: 2,Ref: 1,Ref: 1,,,,,
Abashidze,George,7/7/2021,V50WF,Ref: 1,,,,,,,Ref: 1  Video: 1,,,
Abashidze,George,7/8/2021,Y14WF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Abdallah,Ahmed,5/6/2021,Y14WE,Ref: 1,,,,Ref: 2,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,5/7/2021,DV1ME,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,5/7/2021,U17WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Video: 1 Assist: 1,Ref: 1,,,
Abdallah,Ahmed,5/8/2021,DV1WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Abdallah,Ahmed,5/8/2021,U17ME,,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,5/9/2021,U20ME,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Video: 1 Assist: 1,Ref: 1,Video: 1,,Assist: 1
Abdallah,Ahmed,5/9/2021,U20WE,,,,,Ref: 2,,,,,,
Abdallah,Ahmed,7/4/2021,DV1MF,Ref: 1,,,Ref: 2,Ref: 2,,,,,,
Abdallah,Ahmed,7/4/2021,U17WF,Ref: 1,,,,,,,,,,
Abdallah,Ahmed,7/5/2021,U20WE,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdallah,Ahmed,7/6/2021,U20ME,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1  Assist: 1,Ref: 1,Assist: 1,,
Abdallah,Ahmed,7/8/2021,VTMWE,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Abdallah,Ahmed,7/8/2021,Y14WE,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Abdallah,Ahmed,7/9/2021,Y12ME,Ref: 1,,,,Ref: 2,,Ref: 1,,,,
Abdelaziz,Abdel,4/16/2021,Y14ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,4/16/2021,Y14WE,Ref: 1,,,,Ref: 2,,,,,,
Abdelaziz,Abdel,4/17/2021,DV1ME,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Video: 1,Video: 1,Ref: 1,,
Abdelaziz,Abdel,4/18/2021,DV1WE,Ref: 1,,,,Ref: 1,,Video: 1,,,,
Abdelaziz,Abdel,4/18/2021,Y12ME,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,5/9/2021,U20MF,,,,,,,,Assist: 1,,,
Abdelaziz,Abdel,7/4/2021,U17WF,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,7/6/2021,U20MF,Ref: 1,,,,,,,,,,
Abdelaziz,Abdel,8/27/2021,V50MF,Ref: 1,,,,,Ref: 1,Ref: 3,Ref: 1  Video: 1,Assist: 1,,
Abdelaziz,Abdel,8/27/2021,V60MF,,,,,,,,Video: 1,Assist: 1,,
Abdelaziz,Abdel,8/27/2021,V70MF,Ref: 1,,,,,,,Video: 1  Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Abdel,8/27/2021,V70WF,,,,,,,,,Video: 1  Assist: 1,,Ref: 1
Abdelaziz,Abdel,8/28/2021,VETMF,Ref: 1,,,,,,,Video: 1,Video: 1,,
Abdelaziz,Abdel,8/28/2021,VETWF,Ref: 1,,,,,,,Video: 1  Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,4/16/2021,Y14MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,,Video: 1,,,
Abdelaziz,Hisham,4/16/2021,Y14WF,Ref: 1,,,,Ref: 2,,,,,,
Abdelaziz,Hisham,4/17/2021,DV1MF,Ref: 1,,,Ref: 1,,Ref: 1,Assist: 1,Ref: 1  Assist: 1,Assist: 1,,
Abdelaziz,Hisham,4/17/2021,Y12WF,,,,,Ref: 1,,,Video: 1,Video: 1,,
Abdelaziz,Hisham,4/18/2021,DV1WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1  Video: 1,,,,
Abdelaziz,Hisham,5/6/2021,Y14MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,Video: 1,Assist: 1,,Video: 1
Abdelaziz,Hisham,5/6/2021,Y14WF,,,,,Ref: 1,Ref: 1,,Assist: 1,Ref: 1,,
Abdelaziz,Hisham,5/7/2021,DV1MF,Ref: 2,,,Ref: 2,Ref: 3,Ref: 1,Video: 2,Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,5/8/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,Ref: 1 Assist: 1,Video: 1,,Ref: 1
Abdelaziz,Hisham,5/9/2021,U20MF,Ref: 1,,,,,,Ref: 1 Video: 1,Ref: 1,Video: 1,,Assist: 1
Abdelaziz,Hisham,5/9/2021,U20WF,,,,,,,Assist: 1,Assist: 1,Video: 1,,
Abdelaziz,Hisham,6/4/2021,U20MF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,Video: 1,,Video: 1,,Video: 1
Abdelaziz,Hisham,6/5/2021,DV1MF,Ref: 1,,,Ref: 2,Ref: 2,,Video: 1  Assist: 1,Assist: 1,Ref: 1,,Assist: 1
Abdelaziz,Hisham,6/5/2021,U17WF,,,,Ref: 1,Ref: 1,,Video: 1  Assist: 1,Video: 1,Assist: 1,,Assist: 1
Abdelaziz,Hisham,6/6/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Video: 2,Video: 1,Assist: 1,,Ref: 1
Abdelaziz,Hisham,6/7/2021,U20WF,Ref: 1,,,Ref: 2,,Ref: 1,Video: 2,,,,
Abdelaziz,Hisham,8/27/2021,V50MF,Ref: 1,,,,,Ref: 1,Ref: 3,Ref: 1  Video: 1,Ref: 1,,Video: 1
Abdelaziz,Hisham,8/27/2021,V60MF,,,,,,,,Ref: 1,Video: 1,,
Abdelaziz,Hisham,8/27/2021,V70MF,Ref: 1,,,,,,,Ref: 1  Video: 1,Assist: 1,,Video: 1
Abdelaziz,Hisham,8/28/2021,VETMF,Ref: 1,,,,,Ref: 1,Ref: 1,Video: 1,Assist: 1,,
Abdelaziz,Hisham,8/28/2021,VETWF,Ref: 1,,,,,Ref: 2,Ref: 2,Ref: 1,Assist: 1,,Ref: 1
Abdelkarem,Moataz,7/4/2021,DV1ME,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,,
Abdelkarem,Moataz,7/4/2021,U17WE,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,,,,,
Abdelkarem,Moataz,7/5/2021,U20WE,Ref: 1,,,,,,,,,,
Abdelkarem,Moataz,7/9/2021,Y12ME,Ref: 1,,,,Ref: 2,,,,,,
Abdelkarem,Moataz,7/10/2021,D1AWE,Ref: 1,,,Ref: 1,Ref: 3,Ref: 1,,,,,
Abdelkarem,Moataz,7/11/2021,DV2ME,,,,Ref: 4,Ref: 1,,,,,,
Abdelkarem,Moataz,7/11/2021,DV2WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Assist: 1,,
Abdelkarem,Moataz,7/12/2021,DV3ME,Ref: 1,,,Ref: 1,,Ref: 1,,,,,
Abdelkarem,Moataz,7/12/2021,DV3WE,Ref: 1,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Acuña Ramirez,Adrian,7/3/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 1,,Assist: 1,,,,
Acuña Ramirez,Adrian,7/4/2021,DV1MS,Ref: 1,,,,Ref: 1,,,,,,
Acuña Ramirez,Adrian,7/4/2021,U17WS,Ref: 1,,Ref: 1,Ref: 4,Ref: 2,Ref: 1,Ref: 1  Assist: 1,,,,
Acuña Ramirez,Adrian,7/5/2021,U20WS,Ref: 2,,,Ref: 4,,Ref: 1,Ref: 1,Assist: 1,,,
Acuña Ramirez,Adrian,7/5/2021,V50WS,Ref: 1,,,,,Ref: 2,Ref: 2,Ref: 1  Assist: 1,Video: 1,,
Acuña Ramirez,Adrian,7/6/2021,U20MS,Ref: 2,,Ref: 4,Ref: 4,,Ref: 1,Assist: 1,,,,
Acuña Ramirez,Adrian,7/6/2021,V40MS,Ref: 1,,,,,,Ref: 1,Ref: 2  Assist: 2,Ref: 1  Assist: 1,,
Acuña Ramirez,Adrian,7/7/2021,Y14MS,Ref: 1,,,Ref: 2,,,,Assist: 1,Assist: 1,,
Acuña Ramirez,Adrian,7/8/2021,JTMMS,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Acuña Ramirez,Adrian,7/9/2021,Y12MS,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,,,,
Acuña Ramirez,Adrian,7/9/2021,Y12WS,Ref: 1,,,,Ref: 2,Ref: 1,,,,,
Acuña Ramirez,Adrian,7/10/2021,D1AMS,Ref: 1,,,,Ref: 2,Ref: 1,,,,,
Acuña Ramirez,Adrian,7/10/2021,Y10MS,Ref: 1,,,Ref: 1,Ref: 4,Ref: 2,Ref: 1,Assist: 1,,,
Acuña Ramirez,Adrian,7/11/2021,DV2MS,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,,Video: 1,,
Acuña Ramirez,Adrian,7/11/2021,DV2WS,Ref: 1,,,,Ref: 1,,,Video: 1,Video: 1,,
Acuña Ramirez,Adrian,7/12/2021,DV3MS,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Ref: 1,,
Acuña Ramirez,Adrian,7/12/2021,DV3WS,Ref: 2,,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,,,
Acuña Ramirez,Adrian,7/22/2021,U16WF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Acuña Ramirez,Adrian,7/22/2021,U19WS,Ref: 1,,,,Ref: 3,Ref: 1,Ref: 1  Video: 1,,Video: 1,,Ref: 1
Acuña Ramirez,Adrian,7/23/2021,U19MS,Ref: 2,,,Ref: 4,Ref: 2,Ref: 1,Video: 1,Video: 1,Ref: 1,,
Acuña Ramirez,Adrian,7/24/2021,U16WS,Ref: 1,,,,Ref: 4,Ref: 2,Ref: 1  Video: 1,Video: 1,Ref: 1,,
Acuña Ramirez,Adrian,7/24/2021,U19WF,Ref: 1,,,,,,,,,,
Acuña Ramirez,Adrian,7/25/2021,U16MS,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Video: 1  Assist: 1,Ref: 1,,,Ref: 1
Adel,Ali,7/3/2021,DV1WS,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Adel,Ali,7/3/2021,U17MS,Ref: 2,,Ref: 3,Ref: 3,,,,,,,
Adel,Ali,7/4/2021,DV1MS,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Adel,Ali,7/4/2021,U17WS,Ref: 2,,,,,,,,,,
Adel,Ali,7/5/2021,STMMS,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Adel,Ali,7/5/2021,U20WS,Ref: 1,,,Ref: 4,Ref: 1,,,,,,
Adel,Ali,7/6/2021,U20MS,Ref: 2,,Ref: 4,Ref: 4,Ref: 2,Ref: 1,Ref: 1,,,,
Adel,Ali,7/6/2021,V50MS,Ref: 1,,,,,Ref: 2,Ref: 1,Ref: 1  Video: 1,Video: 1,,
Adel,Ali,7/8/2021,VTMWS,,,,,,,,Ref: 1,,Ref: 1,
Adel,Ali,7/11/2021,DV2MS,Ref: 1,,,,Ref: 1,Ref: 1,,Video: 1,,,
Adel,Ali,7/11/2021,DV2WS,Ref: 1,,,Ref: 1,Ref: 1,,,Video: 1,,,Video: 1
Adnan,Omar,7/4/2021,DV1MF,Ref: 1,,Ref: 1,,,,,,,,
Adnan,Omar,7/4/2021,U17WF,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,,
Adnan,Omar,7/5/2021,U20WF,Ref: 1,,Ref: 1,Ref: 2,,,Assist: 1,,,,
Adnan,Omar,7/5/2021,V70MF,Ref: 1,,,,,,,Ref: 1  Video: 1,Assist: 1,,
Adnan,Omar,7/6/2021,JTMWF,,,,,,,Ref: 1,,,,
Adnan,Omar,7/6/2021,U20MF,Ref: 1,,,,,,,,,,
Adnan,Omar,7/11/2021,DV2ME,Ref: 1,,,Ref: 3,,,,,,,
Adnan,Omar,7/11/2021,DV2WE,Ref: 1,,,Ref: 1,,Ref: 1,,,,,
Adnan,Omar,7/12/2021,DV3MF,Ref: 1,,,Ref: 1,,,,,,,
Adnan,Omar,7/12/2021,DV3WF,Ref: 1,,,Ref: 1,,,,,,,
Alford,April,4/16/2021,Y14ME,Ref: 1,,,Ref: 1,Ref: 2,Ref: 2,,Assist: 1,,,
Alford,April,4/16/2021,Y14WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,,
Alford,April,4/17/2021,DV1ME,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Assist: 1,,,,
Alford,April,4/17/2021,Y12WE,Ref: 1,,,,Ref: 1,Ref: 2,Video: 1,,,,
Alford,April,4/18/2021,DV1WE,Ref: 1,,,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,Assist: 1
Alford,April,4/18/2021,Y12ME,,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Alford,April,4/19/2021,Y10WE,Ref: 1,,,,,Ref: 2,Ref: 1,Video: 1,Assist: 1,,Ref: 1
Alford,April,6/4/2021,U20ME,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,,,,
Alford,April,6/5/2021,DV1ME,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,,,,,,
Alford,April,6/5/2021,U17WE,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,,
Alford,April,6/6/2021,DV1WE,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,,
Alford,April,6/6/2021,U17ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Alford,April,6/7/2021,U20WE,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,,,,,
Alford,April,7/3/2021,DV1WE,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Alford,April,7/3/2021,U17ME,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Ref: 1,,,
Alford,April,7/4/2021,DV1ME,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,,Ref: 1,,,,
Alford,April,7/4/2021,U17WE,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,Assist: 1,,
Alford,April,7/5/2021,STMME,,,,,,Ref: 1,Ref: 1,,,,
Alford,April,7/5/2021,U20WE,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,,,
Alford,April,7/6/2021,JTMWE,,,,,,Ref: 1,Ref: 1,,,Ref: 1,
Alford,April,7/6/2021,U20ME,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Alford,April,7/8/2021,VTMWE,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Alford,April,7/8/2021,Y14WE,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Alford,April,7/9/2021,Y12ME,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,Assist: 1,,
Alford,April,7/10/2021,D1AME,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,,,,
Alford,April,7/10/2021,Y10ME,Ref: 1,,,Ref: 1,Ref: 1,Ref: 2,,Ref: 1,Assist: 1,,Assist: 1
Alford,April,7/11/2021,DV2ME,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,,,,
Alford,April,7/11/2021,DV2WE,Ref: 1,,,,,,,Assist: 1,Video: 1,,
Alford,April,7/12/2021,DV3ME,Ref: 1,,,,,,Ref: 1,Assist: 1,,,
Alford,April,7/12/2021,DV3WE,Ref: 1,,,Ref: 1,,Ref: 2,,Ref: 1,,,Ref: 1
Alford,April,7/22/2021,U19ME,Ref: 1,,Ref: 3,Ref: 4,Ref: 2,,Assist: 1,,,,
Alford,April,7/23/2021,U16WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Video: 1,Video: 2,,
Alford,April,7/24/2021,JTMWE,,,,,,,Ref: 2,,Ref: 1,,Ref: 1
Alford,April,7/24/2021,U16ME,Ref: 1,,,Ref: 3,Ref: 2,,,,,,
Alford,April,7/25/2021,U19WE,Ref: 1,,,Ref: 2,,Ref: 1,,Ref: 1,Assist: 1,,Assist: 1
Alperstein,Donald,5/6/2021,Y14ME,Ref: 1,,,Ref: 1,Ref: 1,,,Video: 1,Ref: 1,,
Alperstein,Donald,5/6/2021,Y14WE,,,,,,Ref: 1,,,,,
Alperstein,Donald,5/7/2021,DV1ME,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,Ref: 1
Alperstein,Donald,5/7/2021,U17WE,,,,Ref: 1,Ref: 2,,,,,,
Alperstein,Donald,5/8/2021,DV1WE,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,Video: 1,,
Alperstein,Donald,5/8/2021,U17ME,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1 Video: 1,Video: 1,Video: 1,,
Alperstein,Donald,5/9/2021,U20ME,,,,,,,Ref: 1 Video: 1,Assist: 1,Ref: 1,,Video: 1
Alperstein,Donald,5/9/2021,U20WE,,,,,Ref: 2,Ref: 1,Video: 1,Assist: 1,Video: 1,,
Alperstein,Donald,7/3/2021,DV1WE,Ref: 1,,,,,Ref: 1,Video: 1  Assist: 1,Ref: 1,,,
Alperstein,Donald,7/3/2021,U17ME,,,,,Ref: 1,,,,,,
Alperstein,Donald,7/4/2021,DV1ME,Ref: 1,,,,,Ref: 1,Video: 1,Video: 1,,,Video: 1
Alperstein,Donald,7/8/2021,JTMME,,,,,,Ref: 1,Ref: 1,,,,
Aly,Sherif,7/3/2021,DV1WF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,,
Aly,Sherif,7/3/2021,U17MF,Ref: 1,,,Ref: 2,,,,,,,
Aly,Sherif,7/4/2021,DV1MF,Ref: 1,,,Ref: 2,,,Video: 1,Video: 1,Video: 1,,
Aly,Sherif,7/5/2021,U20WF,,,,Ref: 2,,Ref: 1,,,,,
Aly,Sherif,7/5/2021,V60MF,Ref: 1,,,,,,Ref: 3,Video: 2,,,Ref: 1
Aly,Sherif,7/6/2021,U20MF,Ref: 1,,Ref: 4,Ref: 2,Ref: 3,Ref: 1,,Video: 1,,,
Aly,Sherif,7/8/2021,VTMMF,,,,,,,,,Ref: 1,Ref: 1,
Aly,Sherif,7/9/2021,Y12MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Aly,Sherif,7/10/2021,D1AWF,,,,,Ref: 2,Ref: 1,Ref: 1,,,,
Aly,Sherif,7/10/2021,Y10WF,Ref: 1,,,,Ref: 3,Ref: 2,Ref: 1,,Ref: 1,,Assist: 1
Aly,Sherif,7/11/2021,DV2MF,,,,Ref: 2,Ref: 1,Ref: 1,,,,,
Aly,Sherif,7/11/2021,DV2WF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,,,,,
Aly,Sherif,7/12/2021,DV3MF,Ref: 1,,,,Ref: 1,,,Video: 1,Video: 1,,
Angelova-Atanassov,Anna,5/6/2021,Y14MF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,,Video: 1,,,
Angelova-Atanassov,Anna,5/6/2021,Y14WF,Ref: 1,,,,Ref: 2,,Ref: 1,,,,
Angelova-Atanassov,Anna,5/7/2021,DV1MF,Ref: 1,,,Ref: 2,,Ref: 1,Video: 2,,,,
Angelova-Atanassov,Anna,5/7/2021,U17WF,Ref: 1,,,Ref: 3,Ref: 2,Ref: 1,,,,,
Angelova-Atanassov,Anna,5/8/2021,DV1WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1 Assist: 1,,,,
Angelova-Atanassov,Anna,5/9/2021,U20MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Angelova-Atanassov,Anna,5/9/2021,U20WF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 2,Ref: 1,Assist: 1,Video: 1,,
Angelova-Atanassov,Anna,6/4/2021,U20MF,Ref: 1,,,Ref: 4,Ref: 1,Ref: 1,Video: 1  Assist: 1,,,,
Angelova-Atanassov,Anna,6/5/2021,DV1MF,Ref: 1,,Ref: 1,Ref: 3,Ref: 1,Ref: 1,,,,,
Angelova-Atanassov,Anna,6/5/2021,U17WF,Ref: 1,,,,,,Ref: 1  Assist: 1,,,,
Angelova-Atanassov,Anna,6/6/2021,DV1WF,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Ref: 1,,,
Angelova-Atanassov,Anna,6/6/2021,U17MF,,,,,,,Ref: 1  Video: 1,Video: 1,,,
Angelova-Atanassov,Anna,6/7/2021,U20WF,Ref: 1,,,,,Ref: 1,,Ref: 1,,,
Angelova-Atanassov,Anna,7/3/2021,DV1WF,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Angelova-Atanassov,Anna,7/3/2021,U17MF,Ref: 1,,Ref: 3,Ref: 1,,,,,,,
Angelova-Atanassov,Anna,7/4/2021,U17WF,Ref: 1,,,Ref: 2,Ref: 1,,Video: 1,,,,
Angelova-Atanassov,Anna,7/5/2021,U20WF,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1,,,,
Angelova-Atanassov,Anna,7/5/2021,V70MF,,,,,,,Ref: 2,Ref: 1  Assist: 1,Video: 1,,Video: 1
Angelova-Atanassov,Anna,7/6/2021,JTMWF,,,,,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Angelova-Atanassov,Anna,7/6/2021,U20MF,Ref: 1,,,,,,,,,,
Angelova-Atanassov,Anna,7/7/2021,V60WF,,,,,,,Ref: 1,Video: 1,Video: 1,,
Angelova-Atanassov,Anna,7/7/2021,Y14MF,Ref: 1,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,,,,
Angelova-Atanassov,Anna,7/8/2021,VTMMF,,,,,,,,,Ref: 1,Ref: 1,
Angelova-Atanassov,Anna,7/9/2021,Y12MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,,
Angelova-Atanassov,Anna,7/10/2021,D1AMF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,,,,,
Angelova-Atanassov,Anna,7/10/2021,D1AWF,Ref: 1,,,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,,,
Angelova-Atanassov,Anna,7/11/2021,DV2MF,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Angelova-Atanassov,Anna,7/12/2021,DV3MF,Ref: 1,,,Ref: 2,,,,,,,
Angelova-Atanassov,Anna,7/12/2021,DV3WF,Ref: 1,,,,Ref: 1,,,,,,
Angelova-Atanassov,Anna,7/22/2021,U16WF,Ref: 1,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Video: 1,Assist: 1,,
Angelova-Atanassov,Anna,7/23/2021,U16MF,Ref: 1,,,Ref: 2,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,,
Angelova-Atanassov,Anna,7/24/2021,U19WF,Ref: 1,,,Ref: 3,Ref: 2,Ref: 1,Video: 1  Assist: 1,Assist: 1,,,
Angelova-Atanassov,Anna,7/25/2021,U19MF,Ref: 1,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Astudillo,Charles,7/3/2021,DV1WE,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Astudillo,Charles,7/3/2021,U17ME,Ref: 1,,,,,,,,,,
Astudillo,Charles,7/4/2021,DV1ME,,,,Ref: 2,Ref: 1,,,,,,
Astudillo,Charles,7/4/2021,U17WF,Ref: 1,,,,,,Video: 1,Video: 1,Assist: 1,,Ref: 1
Astudillo,Charles,7/6/2021,U20ME,Ref: 1,,Ref: 1,Ref: 1,,,,,,,
Astudillo,Charles,7/6/2021,V40WE,,,,,,,,,Video: 1,,
Astudillo,Charles,7/6/2021,V60WE,,,,,,Ref: 3,Ref: 3,Video: 2,Video: 1,,Video: 1
Astudillo,Charles,7/7/2021,V40ME,,,,,,Ref: 1,,Video: 1  Assist: 1,Assist: 1,,Ref: 1
Astudillo,Charles,7/7/2021,Y14MF,Ref: 1,,,,,,,,,,
Astudillo,Charles,7/8/2021,JTMMF,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Astudillo,Charles,7/10/2021,D1AME,Ref: 1,,,Ref: 1,Ref: 1,Ref: 1,,Ref: 1  Assist: 1,Video: 1,,Ref: 1
Astudillo,Charles,7/10/2021,D1AWE,,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Astudillo,Charles,7/11/2021,DV2MF,Ref: 1,,,Ref: 1,,,,Video: 1,Video: 1,,
Astudillo,Charles,7/12/2021,DV3MS,Ref: 2,,,Ref: 2,Ref: 1,,,,,,
Astudillo,Charles,7/12/2021,DV3WS,Ref: 1,,,Ref: 1,Ref: 2,,,,,,
Astudillo,Charles,8/27/2021,V50MF,Ref: 1,,,,,,Ref: 2,Ref: 1  Video: 1,Video: 1,,Ref: 1
Astudillo,Charles,8/27/2021,V50WF,,,,,,,,,,,Assist: 1
Astudillo,Charles,8/27/2021,V60MF,,,,,,,,Video: 1,Ref: 1,,
Astudillo,Charles,8/27/2021,V70MF,,,,,,,,Ref: 1  Assist: 1,Video: 1,,Ref: 1
Astudillo,Charles,8/28/2021,V60WE,,,,,,Ref: 1,Ref: 1,,,,
Astudillo,Charles,8/28/2021,V70ME,Ref: 1,,,,,,Ref: 2,Ref: 1  Video: 1,Ref: 1,,Video: 1
Ayman,Mostafa,7/3/2021,DV1WS,Ref: 1,,,Ref: 2,Ref: 1,,,,,,
Ayman,Mostafa,7/3/2021,U17MS,Ref: 2,,Ref: 4,Ref: 1,,,,,,,
Ayman,Mostafa,7/4/2021,DV1MS,Ref: 1,,,Ref: 1,Ref: 1,,,,,,
Ayman,Mostafa,7/4/2021,U17WS,Ref: 2,,,,,,,,,,
Ayman,Mostafa,7/5/2021,U20WS,Ref: 2,,Ref: 3,Ref: 4,,,,,,,
Ayman,Mostafa,7/5/2021,V70WS,,,,,,,,Ref: 1  Assist: 1,Assist: 1,,
Ayman,Mostafa,7/6/2021,U20MS,Ref: 2,,Ref: 4,Ref: 4,Ref: 2,,Ref: 1,,,,
Ayman,Mostafa,7/6/2021,V60MS,Ref: 1,,,,,Ref: 2,,Ref: 1  Video: 1,Video: 1,,
Ayman,Mostafa,7/7/2021,Y14MS,Ref: 1,,,,Ref: 1,Ref: 1,,,,,
Ayman,Mostafa,7/8/2021,VTMMS,,,,,,,,,Ref: 1,,Ref: 1
