Last Name,First Name,Event,Date,Member #,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Lendes-panegue,Juan,U20MS,2/16/2024,100210572,Ref: 2,,,Ref: 4,Ref: 2,,Ref: 1,,,,,,
Lendes-panegue,Juan,U20WF,2/16/2024,100210572,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Lendes-panegue,Juan,U20MF,2/17/2024,100210572,Ref: 2,,,Ref: 4,Ref: 1,,Ref: 1,Ref: 2,Video: 1,Video: 1,,,
Lendes-panegue,Juan,U17WF,2/18/2024,100210572,Ref: 1,,,Ref: 1,Ref: 1,,,,,Ref: 1,,,
Lendes-panegue,Juan,U17MF,2/19/2024,100210572,Ref: 2,,,Ref: 6,Ref: 4,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Lendes-panegue,Juan,U16MS,3/1/2024,100210572,Ref: 2,,,,Ref: 6,,Ref: 3,Ref: 1,Video: 1,Video: 1,,,
Lendes-panegue,Juan,Y14WS,3/1/2024,100210572,Ref: 2,,,Ref: 3,Ref: 3,,,Ref: 1,,Video: 1,,,
Lendes-panegue,Juan,U16WS,3/2/2024,100210572,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Video: 1,,,
Lendes-panegue,Juan,Y12MF,3/2/2024,100210572,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Video: 1,Video: 1,,
Lendes-panegue,Juan,U16MF,3/3/2024,100210572,Ref: 1,,,Ref: 3,Ref: 2,,,Ref: 1,,,,,
Lendes-panegue,Juan,Y12WS,3/3/2024,100210572,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 1,,,Video: 1,,
Lendes-panegue,Juan,Y10WF,3/4/2024,100210572,Ref: 2,,,,Ref: 3,,Ref: 4,Ref: 1,,Video: 1,Ref: 1,,
Lendes-panegue,Juan,U16WF,3/15/2024,100210572,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1,,
Lendes-panegue,Juan,U19MF,3/15/2024,100210572,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,Ref: 1,,,,,
Lendes-panegue,Juan,U16MF,3/16/2024,100210572,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Ref: 2,,,,
Lendes-panegue,Juan,U19WF,3/17/2024,100210572,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Lendes-panegue,Juan,DV1WF,4/25/2024,100210572,Ref: 1,,,,Ref: 1,,Ref: 1,,Ref: 1,,,,
Lendes-panegue,Juan,U19MF,4/25/2024,100210572,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Lendes-panegue,Juan,DV1MF,4/26/2024,100210572,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,,,,
Lendes-panegue,Juan,U19WF,4/26/2024,100210572,Ref: 1,,,,Ref: 1,,Ref: 1,,,Video: 1,Video: 1,,Video: 1
Lendes-panegue,Juan,STMMF,4/27/2024,100210572,,,,,,,,,,Ref: 1,Ref: 1,,Ref: 1
Lendes-panegue,Juan,V60MF,4/27/2024,100210572,Ref: 1,,,,,,,Ref: 1,Ref: 2,,Ref: 1,,
Lendes-panegue,Juan,U19WE,4/28/2024,100210572,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Video: 1,,,,
