Last Name,First Name,Date,Event,Pools,Table of 512,Table of 256,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Abashidze,George,6/29/2016,DV1MF,,,,Ref: 2,Ref: 2,,Video: 1,Video: 1,,,
Abashidze,George,7/1/2016,DV1WE,,,,,,,,,,,
Abashidze,George,6/30/2016,DV1WF,,,,,Ref: 1,,Video: 1,Ref: 1,,,
Abashidze,George,7/5/2016,DV2MF,,,Ref: 1,Ref: 1,Ref: 1,,,,,,Video: 1
Abashidze,George,7/2/2016,STMMF,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Abashidze,George,7/3/2016,STMWE,,,,,,Ref: 1,Ref: 1,,,,
Abashidze,George,7/3/2016,U16MF,,,,Ref: 2,Ref: 3,Ref: 1,,Ref: 1,,,
Abashidze,George,7/4/2016,U16WF,,,,Ref: 2,,,Video: 1,Video: 1,,,
Abashidze,George,7/2/2016,U19WF,,,,Ref: 2,,,,,,,
Abashidze,George,7/1/2016,V50WF,,,,,,,,Video: 1,Assist: 1,,Video: 1
Abashidze,George,7/6/2016,Y10MF,,,,Ref: 1,Ref: 2,Ref: 2,,Video: 1,,,
Abashidze,George,7/7/2016,Y14MF,,,Ref: 3,Ref: 2,Ref: 1,Ref: 1,,Ref: 1,,,
Tolba,Hussein,10/9/2015,DV1MS,,,,Ref: 3,Ref: 1,Ref: 1,Ref: 1  Video: 1,,Ref: 1,,
Tolba,Hussein,10/9/2015,U17WF,,,,Ref: 1,Ref: 1,,,,,,
Tolba,Hussein,10/10/2015,DV1MF,,,Ref: 2,Ref: 2,Ref: 2,,,,,,
Tolba,Hussein,10/10/2015,U17WS,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1,Video: 1,Video: 1,,
Tolba,Hussein,10/11/2015,DV2WS,,,,Ref: 3,Ref: 2,Ref: 1,,Ref: 1,,,Video: 1
Tolba,Hussein,10/11/2015,U17MS,,,,Ref: 3,Ref: 1,Ref: 1,,Ref: 1,,,
Tolba,Hussein,10/12/2015,DV1WS,,,,Ref: 2,Ref: 2,Ref: 1,,Ref: 1,,,
Abdelaziz,Abdel,6/30/2016,D1AWE,,,,,,,,Video: 1,,,
Abdelaziz,Abdel,7/1/2016,DV1WE,,,,,,,,,,,
Abdelaziz,Abdel,7/3/2016,DV2ME,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,
Abdelaziz,Abdel,7/3/2016,U16MF,,,,,,,,Ref: 1,,,
Abdelaziz,Abdel,7/6/2016,Y14ME,,,Ref: 3,,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,10/10/2015,DV1MF,,,,Ref: 3,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,10/10/2015,DV2WF,,,,,,Ref: 1,Ref: 1,,,,
Abdelaziz,Abdel,10/11/2015,DV1ME,,,Ref: 2  Video: 1,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,11/13/2015,U17MF,,,Ref: 2,Ref: 2,Ref: 1,,Video: 2,Video: 1,Ref: 1,,Video: 1
Abdelaziz,Abdel,11/15/2015,U20MF,,,Ref: 2,Ref: 2,,,Video: 1,,,,
Abdelaziz,Abdel,11/14/2015,U20WF,,,Ref: 1,Ref: 2,Ref: 2,,Ref: 1  Video: 1,Video: 1,Video: 1,,
Abdelaziz,Abdel,11/15/2015,U20WS,,,,Ref: 4,Ref: 1,,,,,,
Abdelaziz,Abdel,11/14/2015,Y14MF,,,,Ref: 2,Ref: 1,,,,,,
Abdelaziz,Abdel,1/8/2016,DV1MF,,,,Ref: 1,Ref: 1,Ref: 1,,,,,
Abdelaziz,Abdel,1/9/2016,DV1ME,,,Ref: 2,,,,,,,,
Abdelaziz,Abdel,1/9/2016,DV1WF,,,,Ref: 2,Ref: 1,,Assist: 1,Ref: 1,,,
Abdelaziz,Abdel,1/10/2016,U20MF,,,,Ref: 1,Ref: 1,,,,,,
Abdelaziz,Abdel,1/11/2016,U20WF,,,,,,,,Video: 1,,,
Abdelaziz,Abdel,2/12/2016,U16ME,,,Ref: 1,Ref: 1,Ref: 1,,,,,,
