Last Name,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128 ,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Le,TAN,10/5/2024,DV2ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,,,,,,
Le,TAN,10/5/2024,U20WE,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Le,TAN,10/6/2024,DV2WE,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Le,TAN,10/6/2024,U20ME,Ref: 2,,,,,,,,,,,,
Le,TAN,10/7/2024,DV1WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Le,TAN,11/8/2024,CTMWE,,,,,,,,,Ref: 1,Ref: 1,,,
Le,TAN,11/8/2024,U20ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,Ref: 1,,
Le,TAN,11/9/2024,U17WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Le,TAN,11/9/2024,Y14ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Le,TAN,11/10/2024,U17ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,,,,,
Le,TAN,11/10/2024,Y14WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Le,TAN,11/11/2024,U20WE,Ref: 2,,,Ref: 5,Ref: 3,,Ref: 2,Ref: 2,Ref: 1,,,,
Le,TAN,12/6/2024,U20ME,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,Ref: 1,,,
Le,TAN,12/7/2024,U17MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Le,TAN,12/7/2024,U17WF,Ref: 1,,,,,,,,,,,,
Le,TAN,12/7/2024,U20WE,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Le,TAN,12/8/2024,U17ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Le,TAN,12/8/2024,U17WE,Ref: 1,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 2,,,,,
Le,TAN,1/3/2025,U17ME,Ref: 1,,,,Ref: 3,,,,,,,,
Le,TAN,1/3/2025,VETWE,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Le,TAN,1/4/2025,VTMME,,,,,,,,,,Ref: 1,,,
Le,TAN,1/5/2025,DV1ME,,Ref: 1,,,,,Ref: 2,,,,,,
Le,TAN,1/5/2025,VTMWE,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Le,TAN,1/6/2025,DV1WE,Ref: 1,,,,,,,,,,,,
Le,TAN,1/6/2025,V50ME,Ref: 1,,,,,,Ref: 4,Ref: 3,Ref: 2,Video: 1,Video: 1,,
Le,TAN,2/14/2025,U20ME,Ref: 2,,,Ref: 2,,,,,,,,,
Le,TAN,2/14/2025,U20WE,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Le,TAN,2/15/2025,DV1WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,Video: 1,Ref: 1,,,
Le,TAN,2/16/2025,U17ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Le,TAN,2/17/2025,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 1,,Ref: 2,,,Ref: 1,,,
Le,TAN,3/7/2025,U16ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Le,TAN,3/7/2025,Y10WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Le,TAN,3/8/2025,Y12WE,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Le,TAN,3/8/2025,Y14ME,Ref: 2,,,Ref: 3,Ref: 2,,,,,,,,
Le,TAN,3/9/2025,Y12ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Le,TAN,3/9/2025,Y14WE,Ref: 1,,,Ref: 2,Ref: 2,,,Ref: 1,,,,,
Le,TAN,3/10/2025,U16WE,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Lee,Seungwon,11/9/2024,U17MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,,,,,
Lee,Seungwon,11/9/2024,Y14WF,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 1,,Ref: 1,,,
Lee,Seungwon,11/10/2024,U17WF,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,,Ref: 1,,,,
Lee,Seungwon,11/11/2024,U20MF,Ref: 2,,,Ref: 4,Ref: 2,,,,,,,,
Lee,Seungwon,1/3/2025,DV1WF,Ref: 1,,,,Ref: 2,,,,,,,,
Lee,Seungwon,1/3/2025,V70MF,Ref: 1,,,,,,,,Ref: 2,Ref: 1,Ref: 1,,Video: 1
Lee,Seungwon,1/4/2025,DV1MF,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,,,,
Lee,Seungwon,1/5/2025,U17WF,Ref: 1,,,,,,Ref: 3,Ref: 1,Ref: 1,,Ref: 1,,
Lee,Seungwon,1/5/2025,V40WF,Ref: 1,,,,,,,,Ref: 2,Ref: 1,Ref: 1,,
Lee,Seungwon,1/6/2025,U17MF,Ref: 2,,,,Ref: 1,,Ref: 1,,,,,,
Lee,Seungwon,2/15/2025,U20MF,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 2,,,,,,
Lee,Seungwon,2/15/2025,U20WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,,,Ref: 1,Ref: 1,,
Lee,Seungwon,2/16/2025,DV1WF,Ref: 1,,,,Ref: 4,,Ref: 2,Ref: 1,Ref: 1,,,,
Lee,Seungwon,2/16/2025,U17ME,Ref: 1,,,,,,,,,,,,
Lee,Seungwon,2/17/2025,DV1ME,Ref: 1,,,,,,,,,,,,
Lee,Seungwon,2/17/2025,U17WE,Ref: 1,,,,,,,,,,,,
Lee,Seungwon,2/17/2025,U17WF,Ref: 1,,,,,,,,,,,,
Lee,Seungwon,4/12/2025,JTMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Lee,Seungwon,4/13/2025,VETMF,,,,,,,Ref: 3,,Ref: 1,,Ref: 1,,
Lee,Seungwon,4/13/2025,VETWF,Ref: 1,,,,,,Ref: 1,Ref: 2,Ref: 2,,,,
Lee,Simon,6/28/2025,DV1WF,Ref: 1,,,,,,,,,,,,
Lee,Simon,6/28/2025,V60MF,Ref: 1,,,,,,,Ref: 1,Ref: 2,Video: 1,Video: 1,,Ref: 1
Lee,Simon,6/28/2025,V80MF,,,,,,,,,,,Video: 1,,Ref: 1
Lee,Simon,6/29/2025,U19MF,Ref: 1,,,Ref: 4,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,
Lee,Simon,6/30/2025,U19WF,Ref: 1,,,Ref: 3,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,
Lee,Simon,7/1/2025,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,Ref: 1,,,
Lee,Simon,7/2/2025,U16MF,Ref: 1,,,Ref: 4,Ref: 3,,Ref: 1,Ref: 1,Video: 1,Ref: 1,Ref: 1,,
Lee,Simon,7/2/2025,U16WF,,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,,,
Lee,Simon,7/3/2025,D1AMF,Ref: 1,,,,Ref: 3,,,Ref: 1,,Ref: 1,,,
Lee,Simon,7/3/2025,DV3WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Lee,Simon,7/4/2025,DV2MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Lee,Simon,7/4/2025,DV2WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,,,,,
Lee,Simon,7/5/2025,Y14MF,Ref: 1,,,Ref: 3,Ref: 2,,,,Ref: 1,Ref: 1,,,
Lee,Simon,7/6/2025,Y12MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,Ref: 1,,,Ref: 1,,
Lee,Simon,7/7/2025,Y12WF,Ref: 3,,,Ref: 3,Ref: 1,,,,,,,,
Lehfeldt,Damien,11/8/2024,CTMWE,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,
Lehfeldt,Damien,11/8/2024,U20ME,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,,,,Ref: 1
Lehfeldt,Damien,11/9/2024,U17WE,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Lehfeldt,Damien,11/9/2024,Y14ME,Ref: 1,,,,,,,,,,,,
Lehfeldt,Damien,11/10/2024,Y14WE,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,,,,
Lehfeldt,Damien,6/29/2025,D1AWE,Ref: 1,,,,,,,,,,,,
Lehfeldt,Damien,6/29/2025,STMME,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Lehfeldt,Damien,6/30/2025,U19ME,Ref: 2,,,Ref: 4,Ref: 2,,,Ref: 1,Ref: 1,,,,
Lehr,William,7/3/2025,D1AME,Ref: 1,,,,Ref: 1,,,Ref: 1,,,,,
Lehr,William,7/3/2025,Y14WE,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Lehr,William,7/4/2025,DV2WE,,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,Ref: 1,,
